geo,urban_built_area_2000,urban_population_2000,urban_built_area_2005,urban_population_2005,urban_builtuparea_growthrate_2000-2005,urban_population_growthrate_2000-2005,rateratio_2000-2005,urban_built_area_2010,urban_population_2010,urban_builtuparea_growthrate_2005-2010,urban_population_growthrate_2005-2010,rateratio_2005-2010,urban_built_area_2015,urban_population_2015,urban_builtuparea_growthrate_2010-2015,urban_population_growthrate_2010-2015,rateratio_2010-2015,urban_built_area_2020,urban_population_2020,urban_builtuparea_growthrate_2015-2020,urban_population_growthrate_2015-2020,rateratio_2015-2020
DJI,8984793.325490197,423300.870210361,9723352.035294129,458998.58885768964,0.08220096813007513,0.08433178658382746,0.9747329145975787,10546256.752941187,496012.4580046288,0.08463179309563755,0.0806404857127243,1.0494950811324721,11454522.56078432,537554.8887754434,0.08612210276312784,0.08375279713322639,1.028289271654206,11647276.611764705,657880.5923289545,0.01682776824241438,0.22383891592468722,0.07517802779243377
DNK,111102897.3607843,1558984.9107741765,116609451.46666645,1643089.7021141788,0.04956265081009284,0.053948431930772645,0.9187041965129275,120738289.49019608,1728264.8711595712,0.035407404559397046,0.051838416938403756,0.6830340633563209,125191619.56470564,1836256.5844988807,0.03688415740618199,0.06248562656188973,0.5902822686694128,128903775.84705864,1953371.2632942912,0.029651795345888632,0.0637790381714936,0.4649144326410001
DOM,124832054.46274525,3994289.4462033487,132088765.4588234,4494857.747460026,0.05813179176862649,0.12532098837566158,0.4638631766481997,142595438.0941175,4978489.210129236,0.07954251520784623,0.10759661147063045,0.7392659872895546,153282160.04705882,5373874.407437123,0.07494434671807491,0.0794187113037097,0.9436610779476878,193564839.14117736,6144487.0008591,0.26280083136714305,0.14339981454637177,1.832644150890168
DZA,279230697.41960806,8607749.09248292,328451954.8000001,9751661.10726557,0.17627452080036102,0.13289328051878485,1.326436672435399,375165800.12156886,10896956.493332902,0.14222428771968684,0.11744618413923545,1.2109741049660354,424300918.12941074,12198201.243773721,0.13096907551786469,0.11941359509299329,1.0967685498110376,457295480.69411725,13502856.830724334,0.07776217574585413,0.10695475184232948,0.7270567637844604
ECU,224120462.37647042,5465706.2364262035,250694869.50196058,6210753.198425752,0.11857198063803435,0.13631302704016227,0.8698506900818744,280749291.4705883,6888823.385036282,0.11988447162215543,0.10917680431777606,1.0980763942605707,304493625.5411765,7509234.35954918,0.08457486729962295,0.09006051394212508,0.9390893255836034,321846706.396078,8275986.922759979,0.0569899643188256,0.10210795488567381,0.5581344213840634
EGY,429174539.6509799,26525742.367611226,512213777.3058812,30739940.114053838,0.1934859363335761,0.1588720001890798,1.2178731060432355,588010942.9843127,34800272.01727435,0.14797955275062288,0.13208652613360783,1.1203228450488507,669523469.9411757,39353900.555993326,0.13862416665779245,0.13085037198728278,1.0594098018404197,853275932.7960758,46254190.37683387,0.2744526086158632,0.17533941295152455,1.565264785571856
ERI,9999417.729411758,574220.5204963068,10546638.752941178,625700.0740585086,0.05472528884555475,0.08965119100534286,0.6104245602525609,11481631.572548997,641619.3754637691,0.08865315685028785,0.025442383763841232,3.484467401843136,12212511.42352941,636661.0678140162,0.06365644519789743,-0.007727802244389686,-8.237328438898837,12336344.999999994,493169.45853819913,0.01013989442269818,-0.22538147301592878,-0.04498991992115317
ESH,5116625.30980392,755.4732715936593,5357649.462745102,891.6117538859415,0.04710607839103599,0.1802029104287173,0.26140575798119364,5580853.164705878,1097.1451277315923,0.041660751326275273,0.23051891470684158,0.180725956389551,5776497.125490196,1304.39968925179,0.035056281720794696,0.18890350627424096,0.18557771855172284,5900868.945098036,1241.7896550674943,0.021530664156140418,-0.047999117678576834,-0.4485637486155308
ESP,519434362.61176527,16356796.982721645,579843452.7058817,17624333.510741293,0.11629783172290299,0.0774929547244854,1.5007536122010383,657262810.6196083,19265744.013140514,0.13351768921843213,0.09313319572617314,1.4336208285066907,717684113.9960784,20472049.414538126,0.09192868119148612,0.0626140054894756,1.4681808083167247,736922207.0039219,21769579.709689006,0.026805794684133997,0.06338057655475592,0.42293390406406073
EST,16125112.721568633,365000.18488114164,16874808.537254877,364443.0501032834,0.04649243875879802,-0.0015263958785106861,-30.458965078024832,17688883.937254906,366526.20527973684,0.04824205253664221,0.005715996438573986,8.439832504282933,18780495.5490196,394868.43741442973,0.061711728995272046,0.07732661874220369,0.7980657889750806,21188369.82352944,446046.2175832824,0.12821143447599487,0.129607168666002,0.9892310417365575
ETH,119787437.53725496,4856830.168143602,139807284.12549028,5772758.45180769,0.1671280979026617,0.18858561076970448,0.8862187163725546,162831662.929412,6957821.410261009,0.16468654654113135,0.20528538797292423,0.8022321908408425,185467990.3647058,8308138.562996844,0.13901674298509564,0.1940718327067812,0.7163159179061959,211802567.9450979,10101743.7711934,0.141989879378148,0.2158853267307065,0.6577097273279019
FIN,52180835.184313715,1112730.4274276006,58722673.37254898,1185902.0845631466,0.12536859874181996,0.06575865576418495,1.9064957652327985,66557519.56078452,1284556.4015329028,0.13342114277614076,0.08318926010328903,1.6038265349455334,73621165.21176459,1390188.6469043444,0.1061284389441392,0.08223246970346121,1.2905904361969103,82671729.78431378,1488342.9775120723,0.1229342750351216,0.07060504401780059,1.7411542864292815
FJI,17556357.349019606,167962.0499552395,18107371.67450981,183041.46989168058,0.031385458528558195,0.08977873240091813,0.3495867861934441,19668904.09019609,205220.00018232543,0.08623738683646123,0.12116669683525572,0.7117251611943658,20112884.541176476,212526.12734530348,0.022572709132365167,0.03560143824425985,0.6340392480071967,23348298.38823531,241278.61192682496,0.160862746486466,0.13528917569182286,1.1890289497579434
