geo,urban_built_volume_2000,urban_built_area_2000,urban_population_2000,urban_built_volume_2005,urban_built_area_2005,urban_population_2005,urban_built_volume_2010,urban_built_area_2010,urban_population_2010,urban_built_volume_2015,urban_built_area_2015,urban_population_2015,urban_built_volume_2020,urban_built_area_2020,urban_population_2020
ESH,45372725.35294122,5116625.30980392,755.4732715936593,47539052.38823526,5357649.462745102,891.6117538859415,49553179.937254876,5580853.164705878,1097.1451277315923,51321536.19607839,5776497.125490196,1304.39968925179,52374868.97647054,5900868.945098036,1241.7896550674943
ESP,6653088498.192159,519434362.61176527,16356796.982721645,7200582665.556857,579843452.7058817,17624333.510741293,7933146169.050975,657262810.6196083,19265744.013140514,8424723891.011762,717684113.9960784,20472049.414538126,8558200097.752935,736922207.0039219,21769579.709689006
EST,151418599.02745092,16125112.721568633,365000.18488114164,156652676.08627418,16874808.537254877,364443.0501032834,162007431.06274462,17688883.937254906,366526.20527973684,168043784.46274495,18780495.5490196,394868.43741442973,182508415.72156817,21188369.82352944,446046.2175832824
ETH,1113428281.603923,119787437.53725496,4856830.168143602,1282778079.0078437,139807284.12549028,5772758.45180769,1467705077.2274504,162831662.92941198,6957821.410261008,1638688748.0156868,185467990.3647058,8308138.562996844,1780702295.5411777,211802567.9450979,10101743.7711934
FIN,436528132.11764777,52180835.184313715,1112730.4274276006,472364331.039216,58722673.37254898,1185902.0845631466,515178276.6196067,66557519.56078452,1284556.4015329028,551768803.286273,73621165.21176459,1390188.6469043444,594469987.0509806,82671729.78431378,1488342.9775120723
FJI,201024434.9372548,17556357.349019606,167962.0499552395,206500204.74117646,18107371.67450981,183041.46989168058,219828747.65490225,19668904.09019609,205220.00018232543,224164057.98039228,20112884.541176476,212526.12734530348,249956437.39215714,23348298.38823531,241278.61192682496
FRA,14994704607.317633,1525854420.9098022,23543089.51171607,15908188339.086292,1660826282.266665,24711273.421135567,17748007850.41565,1885623174.8627481,27047496.458158907,18591551336.325466,2016357501.086279,27967607.602239374,19098319313.04704,2098054718.384317,28163579.12946986
GAB,474523641.86274433,47823768.66666665,533314.4911158285,506863414.3411764,51359791.94509806,597142.9243649561,553203073.9882345,56817627.65490205,684520.8943772621,593446822.1568626,61739091.02745098,775712.8882471296,622904716.9254903,66853547.08235298,973766.8502401103
GBR,15163226082.08626,1960445980.3451,30898546.846080765,15781230071.188206,2059456653.1843147,32685030.470040217,16310762677.301945,2143691862.7411757,34630145.60206442,16740285068.003927,2214221321.7372556,36449363.42510479,17021357028.050959,2262559550.654904,37992186.874597915
GEO,657199330.9372556,50783647.47450988,1372212.3274917956,687601096.2156854,54136582.156862654,1362238.549406933,713676332.3686274,56877769.38039218,1394383.9096973347,738870469.3098041,59524358.73333347,1420530.7915257115,767531120.0941169,62727633.290196046,1358573.8494418326
GHA,4140737430.419612,475789801.63137305,6644904.005765481,4714203860.419613,546111321.4156866,8427116.860125393,5367856970.454914,629347571.97647,10344891.064861005,5961484702.980412,708177064.6078424,12326363.079812502,6215113113.090202,752415969.2627449,14863553.172825523
GIN,801132990.3254902,99292430.56470586,1940298.6634577138,855113279.5176479,106668364.1882353,2235797.131022481,913492093.2549022,115035731.20000017,2590310.565653258,973390961.8235302,124464981.6274511,3041928.114581458,994727771.0784323,128951534.9333334,3391736.136607015
GLP,48747121.91764707,4872655.894117647,70067.21573624373,56555537.96078429,5740952.301960776,68180.38986654105,111426458.34117647,14090766.317647062,116809.23645649124,121569131.02745084,15799212.20000006,119944.8674568037,124135480.31372547,16311865.231372615,121671.57792580737
GMB,7089593.11764706,851587.2000000002,39553.11593681122,7194486.878431372,867903.3294117649,38103.73244287489,7318473.70980392,887783.6627450984,35746.06786768395,7422210.247058823,905275.0980392164,34038.14886151436,7524947.850980393,921953.423529412,35730.03877742104
GNB,95982804.14117648,12155740.768627444,268612.3697292378,108363542.01568623,13778307.992156858,331159.0646720417,126552396.37254925,16464374.517647043,405060.77823515126,141387343.1999999,18736099.262745116,488170.7241319213,144725068.96078447,19292637.254901953,564602.4484477261
GNQ,78286609.96862747,7761418.231372547,228994.4387465887,100523228.1490195,10002350.035294127,309896.16233285813,164428551.56470603,16706385.847058842,469132.0702497585,228397738.61960793,23702915.976470597,635912.5723502571,243674429.74509808,25826990.686274506,1285991.7749947694
GRC,2108184516.9137316,177916375.91372558,4898820.32869017,2273802841.768631,198444297.58823517,4994605.367311479,2351973725.7137227,208834145.83529377,4994260.917729111,2408228333.643138,216769254.77647027,4954019.074558616,2424589867.28628,219348791.51372495,4801359.930155732
GTM,1141084377.74902,107122288.08235323,2357817.040115405,1173544501.9764721,110380432.48235318,2698094.9759278814,1198968817.5607858,113081020.87843138,2937210.9310604753,1228715663.1490202,116271929.07450986,3074735.440522029,1369978964.4509814,135287124.35294163,3357421.096741123
GUF,37013051.7490196,4460124.082352943,58833.34223076803,48495176.98823522,6057415.878431372,75570.65687500194,53141555.00392158,6717216.749019615,83069.32061706831,57103093.87843126,7264922.537254902,90069.3420432582,59171731.278431416,7565627.929411768,93894.37563787343
GUM,4061030.5490196096,772218.1843137258,9919.438858670683,4085580.3882352933,778909.9607843132,10098.48770329319,7342760.298039208,1545750.1960784304,20297.144911509182,7804879.149019603,1661589.7882352925,22403.47461354621,7810685.498039207,1663270.6274509784,21694.701808972106
GUY,70984785.98039223,11125953.97254904,203489.6509638652,73875559.69019614,11652832.117647065,204206.70444051817,85833661.34509805,13726496.69803923,219888.9845611193,89800407.40392138,14463704.788235273,217461.6678250165,93603865.4196077,15203344.337254876,218693.15454573111
