,country,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_percapita_tonnesCO2e_2015,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020,urban_ghg_percapita_tonnesCO2e_2020
53,FRA,71487544.87295651,20839380.157659233,3.4304064867631023,61966294.18422626,21517015.095510248,2.8798740861206245
54,GAB,2208918.5622807527,394980.52937185235,5.592474560185669,2172935.8441149,466582.1072408831,4.657134961656545
55,GBR,89914380.83472061,29937127.468912225,3.003440491346102,79771565.27952605,31336772.35754256,2.5456216220789423
56,GEO,1138641.050436955,964056.0818070794,1.1810942038793262,1283184.8531631536,973577.3066722093,1.3180102333621722
57,GHA,5444495.039518265,6779902.563992847,0.8030344076673385,7022740.112569441,8583256.775651913,0.8181906118072592
58,GIN,613116.2182343204,1387383.0243222918,0.4419228197878629,737448.5733039441,1700639.0207633036,0.4336302791482184
59,GLP,198167.7959595317,56094.6378705767,3.5327404451161737,168427.60906850352,58474.72206427238,2.8803490315589126
60,GMB,815.2241785519484,25122.090829796893,0.03245049084788057,1737.2427506195688,24998.193212037924,0.06949473251462816
61,GNB,74964.71266337005,244753.20521381334,0.30628694973731524,81907.4362604584,289195.30386832845,0.2832253330702463
62,GNQ,926706.2476789643,32032.121663567144,28.93052971676822,921302.5910487322,52504.25582689747,17.54719834685776
63,GRC,9018287.231944185,3963547.968062508,2.2753066960742685,7735063.563747009,3941582.3069034633,1.962425990749825
64,GTM,2213460.1390313166,1700424.9326841729,1.301709999945309,2673335.0993679175,1970358.141102731,1.3567762345335648
65,GUF,40743.90614035157,39074.76656060118,1.0427165592188943,45340.48011024875,42569.1231306357,1.0651025150578821
66,GUM,4806.104994148863,14358.665197041908,0.3347180903096055,3101.419290008281,14707.14272634235,0.21087843830149602
67,GUY,286433.12079063087,122932.75084798118,2.3299984651350925,223703.96132499064,127042.74056212298,1.7608559161678428
68,HKG,143610466.06765205,3583582.5729912072,40.07455197210113,168064266.28066662,3810318.2269596364,44.10767192397208
69,HND,916814.8264909727,773628.5976051486,1.1850839399281161,1009744.9573134468,959534.4269882848,1.052328013370775
70,HRV,1330627.1092740595,525333.880910072,2.5329169840881436,1500353.4224447783,540222.7720212466,2.7772865198392087
71,HTI,1436345.3549050197,2572096.642936122,0.5584336649440164,1557060.2269120223,3261694.1512944475,0.47737775361128876
72,HUN,8530734.984677,2307902.4958204827,3.696315160681967,9065001.495026791,2362553.3977347426,3.8369509462594467
73,IDN,135480285.43301216,56067657.768407606,2.41637141313492,156467131.17594057,63347965.63151643,2.469962999065848
74,IND,269988291.5377186,163273223.89757693,1.6535980921592213,303357471.957787,180233682.08637103,1.6831341869407792
75,IRL,5359563.636458149,1124757.7297927218,4.765082732479507,6008059.265863761,1235482.8331858653,4.862924117181896
76,IRN,105189485.86709373,12782420.691749407,8.229230472361918,118150909.75819764,13862985.085028201,8.522761081651794
77,IRQ,19339436.770834308,4451802.061671967,4.3441816376649465,26041622.803868446,5348368.245385028,4.869078120478915
78,ISL,258818.00093837487,66281.22677458363,3.904846266931527,156397.2073113919,77012.51867964983,2.030802394114128
