,country,urban_ghg_emissions_tonnesCO2e_2000,urban_population_2000,urban_ghg_emissions_tonnesCO2e_2005,urban_population_2005,urban_ghg_emissions_tonnesCO2e_2010,urban_population_2010,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_emissions_tonnesCO2e_2016,urban_population_2016,urban_ghg_emissions_tonnesCO2e_2017,urban_population_2017,urban_ghg_emissions_tonnesCO2e_2018,urban_population_2018,urban_ghg_emissions_tonnesCO2e_2019,urban_population_2019,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020
83,KAZ,31661883.02330542,1923008.6020495973,39119521.2552557,2010940.115252642,56708402.992303126,2184299.8376871957,44286453.68736375,2570139.2244640985,46583142.899697855,2895232.350436839,48616740.16811816,2900742.505092592,49756634.87750085,2875500.7700382266,50623049.71324052,3075881.496558954,48982421.1258067,3001450.1189847044
84,KEN,3693971.990769881,3275030.4276329735,3908378.860699759,3975881.9195891945,4648263.976182673,4765937.605610258,4771576.651383093,5686769.681511378,5424044.980566191,5814919.034113992,5460204.537479327,6014286.645215607,4836083.661491432,6226967.5966567155,5497239.857171849,6436232.46060177,5162119.6395223895,6681204.770315382
85,KGZ,1255197.2875622818,985976.5009381182,1464049.109544467,1030663.7944076904,1453784.4265681372,1080437.9902316607,2022251.6839884454,1103793.7581668163,1922041.891789373,1131450.5922310865,2068178.6725756628,1132856.87853478,2453679.673426837,1138662.77712465,2314142.262715284,1145087.3508901794,2222260.1010268573,1150252.2237683553
86,KHM,650440.0444009649,1083846.563660579,785038.0218804613,1260079.5841577908,1053145.809507691,1505496.9391607784,1856377.8380141307,1858468.700043365,2231976.8432035474,1944946.524435866,2414336.016652075,2031878.5320656293,2591697.997266257,2130274.319270843,2886423.417443717,2240562.4058098877,2919057.543542633,2357942.649137911
87,KOR,113661692.44015968,22363128.526173163,114562151.57570328,22785710.959411204,126382024.05128005,23377544.739503525,107909783.22048266,26288947.993589524,113442550.93774053,25967131.436744858,113836294.78229216,26164345.15155785,115182269.4770117,26786929.47276084,111459634.85741451,27029138.67464994,108670480.93944257,26881544.45469438
88,KWT,11899638.435465716,820896.8912295596,16226938.966960737,967877.1904471143,25175266.645814296,1153508.6705696047,34095271.33818508,1400216.8693257675,35571247.14074477,1459358.0275108279,36016491.859733135,1498484.797099935,36713865.37672473,1557684.5601374507,38335372.4421933,1605395.9399531432,36473719.515507266,1657108.149268347
89,LAO,196853.3083639136,271898.881001386,236707.9129496541,299740.57564848155,338544.6413543209,334727.03784084506,484097.43005118024,373447.7924763938,439470.0270144206,380594.301477313,446496.1632091353,388992.2635870467,462085.8490707582,395988.2620844889,492962.93416150025,405423.7078551071,488957.97857866273,414894.7381505138
90,LBN,3203305.1749022016,1489886.7670692287,3554425.3223896464,1952044.785956885,4291723.656033807,2578141.1068292703,4061164.9176100777,3434920.4553934652,4194145.986425003,3626812.895143926,4384771.005819525,3843783.0767600676,4309291.742422233,4074354.7142596208,4211429.817165726,4323973.735177571,3893758.6357073104,4590749.362919991
91,LBR,276278.73003926716,515481.3818240007,359598.2594236606,606877.0694009247,379776.9080271518,721521.6223595628,575563.837778204,874752.0042258828,599601.4427742304,907259.899177603,564724.5635193605,934050.0408286755,610971.4280643397,954368.0508938173,634061.3440801,1007114.4451579871,641572.377987666,1018453.7633562669
92,LBY,12930105.66707546,1412929.6065516686,15559951.523351438,1535080.4705985424,16818824.41250697,1634014.136455563,14602988.690389859,1740156.8382542236,11733676.346902652,1817828.62675003,12805436.171517035,1837866.0714087572,13419368.750841755,1842884.5540622247,13057821.230535386,1915406.1516368324,11470603.110486062,1926117.8420806178
